Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H)
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,173 Wh/km,210 km/h,Front Wheel Drive,5,"€42,990",,335,7.3,150
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,194 Wh/km,-,Front Wheel Drive,5,,"£31,680",160,22.4,130
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,164 Wh/km,230 km/h,Front Wheel Drive,5,"€29,990","£25,995",220,7.9,144
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,231 Wh/km,600 km/h,All Wheel Drive,5,,"£79,900",375,5.7,200
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,215 Wh/km,860 km/h,All Wheel Drive,4,"€186,336","£138,830",390,2.8,260
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,218 Wh/km,170 km/h,Front Wheel Drive,7,"€43,433","£30,255",165,14.0,123
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,164 Wh/km,260 km/h,Rear Wheel Drive,5,"€31,960","£27,120",275,8.9,160
BMW iX3 ,Battery Electric Vehicle |       74 kWh,192 Wh/km,520 km/h,Rear Wheel Drive,5,"€66,300","£58,850",385,6.8,180
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,172 Wh/km,390 km/h,Front Wheel Drive,5,"€38,350","£30,445",325,7.3,157
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,161 Wh/km,270 km/h,Rear Wheel Drive,4,"€39,000","£31,305",235,7.3,150
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,187 Wh/km,420 km/h,Front Wheel Drive,5,"€47,541","£43,495",355,8.9,160
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,180 Wh/km,330 km/h,Front Wheel Drive,5,"€30,040","£31,500",250,8.7,150
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,165 Wh/km,260 km/h,Rear Wheel Drive,4,"€42,600","£32,305",230,6.9,160
Sono Sion ,Battery Electric Vehicle |       47 kWh ,181 Wh/km,310 km/h,Front Wheel Drive,5,"€25,500",,260,9.0,140
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,210 Wh/km,810 km/h,All Wheel Drive,4,"€138,200","£110,950",405,3.3,250
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,173 Wh/km,350 km/h,Front Wheel Drive,5,,"£37,545",370,7.9,167
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,165 Wh/km,230 km/h,Front Wheel Drive,5,"€31,990","£26,795",315,11.4,135
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,153 Wh/km,220 km/h,Front Wheel Drive,5,"€35,350","£30,550",250,9.7,165
Lightyear One ,Battery Electric Vehicle |       60 kWh ,104 Wh/km,540 km/h,All Wheel Drive,5,"€149,000",,575,10.0,150
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,206 Wh/km,920 km/h,All Wheel Drive,4,"€215,000","£189,000",970,2.1,410
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,164 Wh/km,370 km/h,Front Wheel Drive,5,"€30,450","£27,225",275,8.1,150
Honda e ,Battery Electric Vehicle |       28.5 kWh ,168 Wh/km,190 km/h,Rear Wheel Drive,4,"€33,850","£27,660",170,9.0,145
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,164 Wh/km,440 km/h,Rear Wheel Drive,5,"€32,700","£28,500",275,8.9,160
Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,184 Wh/km,390 km/h,Rear Wheel Drive,5,"€41,900","£40,750",280,9.0,160
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,169 Wh/km,750 km/h,All Wheel Drive,7,"€59,965","£54,000",450,5.1,217
Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh ,177 Wh/km,720 km/h,All Wheel Drive,7,"€66,965","£60,000",430,3.7,241
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,207 Wh/km,850 km/h,All Wheel Drive,4,"€93,635","£79,340",405,5.1,220
Skoda Enyaq iV 50,Battery Electric Vehicle |       52 kWh,176 Wh/km,240 km/h,Rear Wheel Drive,5,"€33,800",,295,11.3,160
Volkswagen e-Up! ,Battery Electric Vehicle |       32.3 kWh,158 Wh/km,170 km/h,Front Wheel Drive,4,,,205,11.9,130
SEAT Mii Electric ,Battery Electric Vehicle |       32.3 kWh,158 Wh/km,170 km/h,Front Wheel Drive,4,"€24,650",,205,12.3,130
Opel Corsa-e ,Battery Electric Vehicle |       45 kWh ,164 Wh/km,370 km/h,Front Wheel Drive,5,"€29,000","£27,140",275,8.1,150
MG ZS EV,Battery Electric Vehicle |       42.5 kWh ,193 Wh/km,260 km/h,Front Wheel Drive,5,"€31,990","£25,995",220,8.2,140
Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€34,995","£28,420",350,9.6,160
Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,171 Wh/km,550 km/h,Rear Wheel Drive,4,"€41,995","£38,800",450,7.9,160
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,162 Wh/km,370 km/h,Front Wheel Drive,5,"€41,850",,395,7.9,167
Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,168 Wh/km,230 km/h,Front Wheel Drive,5,"€33,990","£28,795",310,9.5,140
Peugeot e-2008 SUV ,Battery Electric Vehicle |       45 kWh ,180 Wh/km,330 km/h,Front Wheel Drive,5,"€35,450","£30,730",250,8.5,150
Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,231 Wh/km,470 km/h,All Wheel Drive,5,"€69,100","£60,600",280,6.8,190
Porsche Taycan Turbo,Battery Electric Vehicle |       83.7 kWh,209 Wh/km,840 km/h,All Wheel Drive,4,"€153,016","£115,860",400,3.2,260
Smart EQ fortwo coupe,Battery Electric Vehicle |       16.7 kWh ,167 Wh/km,-,Rear Wheel Drive,2,"€18,460","£19,200",100,11.6,130
Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh ,176 Wh/km,-,Rear Wheel Drive,2,"€21,720","£21,620",95,11.9,130
Smart EQ forfour ,Battery Electric Vehicle |       16.7 kWh ,176 Wh/km,-,Rear Wheel Drive,4,"€19,120","£19,795",95,12.7,130
Honda e Advance,Battery Electric Vehicle |       28.5 kWh ,168 Wh/km,190 km/h,Rear Wheel Drive,4,"€38,000","£30,160",170,8.3,145
