Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H),Price_USD,Is_front_wheel_drive,Is_All_Wheel_Drive,Is_Rear_Wheel_Drive,Speed New,Battery_clean
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,173 Wh/km,210 km/h,Front Wheel Drive,5,42990,,335,7.3,150,49879.22,True,False,False,130.49,58.0
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,194 Wh/km,-,Front Wheel Drive,5,0,"£31,680",160,22.4,130,0.0,True,False,False,0.0,31.0
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,164 Wh/km,230 km/h,Front Wheel Drive,5,29990,"£25,995",220,7.9,144,34795.95,True,False,False,142.92,36.0
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,231 Wh/km,600 km/h,All Wheel Drive,5,0,"£79,900",375,5.7,200,0.0,False,True,False,372.82,86.5
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,215 Wh/km,860 km/h,All Wheel Drive,4,186336,"£138,830",390,2.8,260,216196.65,False,True,False,534.38,83.7
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,218 Wh/km,170 km/h,Front Wheel Drive,7,43433,"£30,255",165,14.0,123,50393.21,True,False,False,105.63,36.0
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,164 Wh/km,260 km/h,Rear Wheel Drive,5,31960,"£27,120",275,8.9,160,37081.64,False,False,True,161.56,45.0
BMW iX3 ,Battery Electric Vehicle |       74 kWh,192 Wh/km,520 km/h,Rear Wheel Drive,5,66300,"£58,850",385,6.8,180,76924.68,False,False,True,323.11,74.0
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,172 Wh/km,390 km/h,Front Wheel Drive,5,38350,"£30,445",325,7.3,157,44495.65,True,False,False,242.33,56.0
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,161 Wh/km,270 km/h,Rear Wheel Drive,4,39000,"£31,305",235,7.3,150,45249.81,False,False,True,167.77,37.9
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,187 Wh/km,420 km/h,Front Wheel Drive,5,47541,"£43,495",355,8.9,160,55159.52,True,False,False,260.98,66.5
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,180 Wh/km,330 km/h,Front Wheel Drive,5,30040,"£31,500",250,8.7,150,34853.96,True,False,False,205.05,45.0
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,165 Wh/km,260 km/h,Rear Wheel Drive,4,42600,"£32,305",230,6.9,160,49426.72,False,False,True,161.56,37.9
Sono Sion ,Battery Electric Vehicle |       47 kWh ,181 Wh/km,310 km/h,Front Wheel Drive,5,25500,,260,9.0,140,29586.42,True,False,False,192.63,47.0
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,210 Wh/km,810 km/h,All Wheel Drive,4,138200,"£110,950",405,3.3,250,160346.78,False,True,False,503.31,85.0
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,173 Wh/km,350 km/h,Front Wheel Drive,5,0,"£37,545",370,7.9,167,0.0,True,False,False,217.48,64.0
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,165 Wh/km,230 km/h,Front Wheel Drive,5,31990,"£26,795",315,11.4,135,37116.45,True,False,False,142.92,52.0
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,153 Wh/km,220 km/h,Front Wheel Drive,5,35350,"£30,550",250,9.7,165,41014.9,True,False,False,136.7,38.3
Lightyear One ,Battery Electric Vehicle |       60 kWh ,104 Wh/km,540 km/h,All Wheel Drive,5,149000,,575,10.0,150,172877.49,False,True,False,335.54,60.0
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,206 Wh/km,920 km/h,All Wheel Drive,4,215000,"£189,000",970,2.1,410,249454.1,False,True,False,571.66,200.0
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,164 Wh/km,370 km/h,Front Wheel Drive,5,30450,"£27,225",275,8.1,150,35329.66,True,False,False,229.91,45.0
Honda e ,Battery Electric Vehicle |       28.5 kWh ,168 Wh/km,190 km/h,Rear Wheel Drive,4,33850,"£27,660",170,9.0,145,39274.52,False,False,True,118.06,28.5
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,164 Wh/km,440 km/h,Rear Wheel Drive,5,32700,"£28,500",275,8.9,160,37940.23,False,False,True,273.4,45.0
