Title,Source,URL
GM envisions electric vehicles with 600 miles of range with new battery research center,The Verge,https://www.theverge.com/2021/10/5/22709389/gm-wallace-battery-center-ev-ultium-research
Foxconn Unveils Prototypes in Push to Produce Electric Cars,New York Times,https://www.nytimes.com/live/2021/10/18/business/news-business-stock-market
Toyota will build a US battery plant as part of a $3.4 billion investment,Engadget,https://www.engadget.com/toyota-us-battery-investment-155141624.html
Tesla quietly raises prices on four of its EVs,The Verge,https://www.theverge.com/2021/10/24/22743398/tesla-quietly-raises-prices-electric-vehicles-model-x
Jeep will debut the 2022 Grand Cherokee 4xe on September 29th,Engadget,https://www.engadget.com/jeep-2022-grand-cherokee-4xe-debut-september-29-173239673.html
"Kia’s Sorento plug-in hybrid is racing in the 1,500-mile Rebelle Rally",Engadget,https://www.engadget.com/kia-sorento-phev-rebelle-rally-171654356.html
"How Jeep is going electric, with CEO Christian Meunier",The Verge,https://www.theverge.com/22733877/jeep-ceo-decoder-wrangler-interview-electric-ev-car-grand-cherokee
Charging Up Your Portfolio with Electric Vehicles,Zacks.com,http://www.zacks.com/stock/news/1800825/charging-up-your-portfolio-with-electric-vehicles?cid=CS-ENTREPRENEUR-FT-weekend_wisdom-1800825
Toyota's three-wheeled 'C+walk' picks up where Segway left off,Engadget,https://www.engadget.com/toyota-c-plus-walk-electric-scooter-announcement-183005391.html
‘Ambitious’ UK plans for electric vehicles welcomed – with reservations,The Guardian,https://amp.theguardian.com/business/2021/oct/20/ambitious-uk-plans-for-electric-vehicles-welcomed-with-reservations
New tech to prevent Li-ion battery fires,Blogspot.com,https://techncruncher.blogspot.com/2021/09/new-tech-to-prevent-li-ion-battery-fires.html
Ford CEO: This is the biggest investment in our company's history,CNN,https://www.cnn.com/videos/cars/2021/09/28/ford-ceo-electric-vehicle-investment-firstmove-intv-biz-vpx.cnn
Jeep's Grand Cherokee plug-in hybrid will arrive in early 2022,Engadget,https://www.engadget.com/jeep-grand-cherokee-4xe-plug-in-hybrid-141057823.html
Axial Flux Motors for Electric Vehicles,Hackaday,https://hackaday.com/2021/10/10/axial-flux-motors-for-electric-vehicles/
Electric Vehicles Will Usher in New Pennsylvania Regulations,Theepochtimes.com,https://www.theepochtimes.com/electric-vehicles-will-usher-in-new-pennsylvania-regulations_4019130.html
"As E-Scooters and E-Bikes Proliferate, Safety Challenges Grow",New York Times,https://www.nytimes.com/2021/10/11/nyregion/electric-scooters-bikes-new-york.html
Chairman Mao's favoured carmaker enters Europe with EVs in Norway - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/chairman-maos-favoured-carmaker-enters-europe-with-evs-norway-2021-10-01/
Chairman Mao's favoured carmaker enters Europe with EVs in Norway - Reuters.com,Reuters,https://www.reuters.com/article/faw-norway-idUSKBN2GR34P
EV batteries: major players and their expansion plans - Reuters,Reuters,https://www.reuters.com/video/watch/idOVEXW0PE3
Energy from bogs: Estonian scientists use peat to make batteries - Reuters,Reuters,https://www.reuters.com/business/sustainable-business/energy-bogs-estonian-scientists-use-peat-make-batteries-2021-10-11/
Battery giants face skills gap that could jam electric highway - Reuters,Reuters,https://www.reuters.com/article/southkkorea-batteries-talent-idUSKBN2GU2FC
EDF's electric vehicle charging firm Pod Point plans London IPO - Reuters,Reuters,https://www.reuters.com/world/uk/edfs-electric-vehicle-charging-firm-pod-point-plans-london-ipo-2021-10-11/
"Tesla delivers 241300 vehicles in Q3, beats analysts' estimates - Reuters",Reuters,https://www.reuters.com/business/autos-transportation/tesla-delivers-241300-vehicles-q3-beats-analysts-estimates-2021-10-02/
Honda to launch new EV brand in China next year - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/honda-launch-new-ev-brand-china-next-year-2021-10-13/
